Player,Team,Pos,Pos2,Age,Matches ,Starts,Min,Min per match,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G per 90,A per 90,G+A,xG,npxG,xA,xG,xA,xG+xA
Bukayo Saka,Arsenal,FW,MF,19,38,36,"2,978",78,11,7,9,2,2,6,0,0.33,0.21,0.54,9.7,8.2,6.9,0.29,0.21,0.5
Gabriel Dos Santos,Arsenal,DF,,23,35,35,"3,063",87,5,0,5,0,0,8,1,0.15,0,0.15,2.7,2.7,0.8,0.08,0.02,0.1
Aaron Ramsdale,Arsenal,GK,,23,34,34,"3,060",90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ben White,Arsenal,DF,,23,32,32,"2,880",90,0,0,0,0,0,3,0,0,0,0,1,1,0.6,0.03,0.02,0.05
Martin Ødegaard,Arsenal,MF,,22,36,32,"2,785",77,7,4,7,0,0,4,0,0.23,0.13,0.36,4.8,4.8,6.8,0.16,0.22,0.38
Granit Xhaka,Arsenal,MF,DF,28,27,27,"2,327",86,1,2,1,0,0,10,1,0.04,0.08,0.12,1.2,1.2,2.3,0.05,0.09,0.14
Thomas Partey,Arsenal,MF,,28,24,23,"2,028",84,2,1,2,0,0,6,0,0.09,0.04,0.13,2.5,2.5,1.3,0.11,0.06,0.17
Kieran Tierney,Arsenal,DF,,24,22,22,"1,915",87,1,3,1,0,0,0,0,0.05,0.14,0.19,0.7,0.7,1.9,0.03,0.09,0.12
Emile Smith Rowe,Arsenal,MF,FW,21,33,21,"1,921",58,10,2,10,0,0,1,0,0.47,0.09,0.56,5.8,5.8,2.2,0.27,0.1,0.37
Martinelli,Arsenal,FW,MF,20,29,21,"1,860",64,6,6,5,1,1,3,1,0.29,0.29,0.58,7.2,6.5,3.3,0.35,0.16,0.51
Alexandre Lacazette,Arsenal,FW,MF,30,30,20,"1,782",59,4,7,2,2,3,0,0,0.2,0.35,0.56,7.9,5.6,1.9,0.4,0.1,0.5
Takehiro Tomiyasu,Arsenal,DF,,22,21,20,"1,679",79,0,1,0,0,0,2,0,0,0.05,0.05,0.8,0.8,0.6,0.04,0.03,0.08
Cédric Soares,Arsenal,DF,,29,21,16,"1,486",70,1,1,1,0,0,3,0,0.06,0.06,0.12,0.5,0.5,1.4,0.03,0.09,0.12
Nuno Tavares,Arsenal,DF,,21,22,13,"1,176",53,1,1,1,0,0,2,0,0.08,0.08,0.15,1.5,1.5,1,0.11,0.08,0.19
Albert Sambi Lokonga,Arsenal,MF,,21,19,12,"1,134",59,0,0,0,0,0,5,0,0,0,0,0.6,0.6,0.8,0.05,0.06,0.11
